qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
7745,999,154,210,8,6,1:12.986,1:12.722,1:12.544
7746,999,807,4,27,7,1:13.479,1:12.946,1:12.560
7747,999,832,4,55,8,1:13.324,1:13.032,1:12.692
7748,999,844,15,16,9,1:13.077,1:12.995,1:12.717
7749,999,815,10,11,10,1:13.427,1:13.072,1:12.774
7750,999,4,1,14,11,1:13.614,1:13.657,\N
7751,999,845,3,35,12,1:13.708,1:13.702,\N
7752,999,828,15,9,13,1:13.562,1:13.736,\N
7753,999,1,131,44,14,1:13.012,\N,\N
7754,999,817,9,3,15,1:13.318,\N,\N
7755,999,839,10,31,16,1:13.720,\N,\N
7756,999,842,5,10,17,1:13.749,\N,\N
7757,999,843,5,28,18,1:14.045,\N,\N
7758,999,840,3,18,19,1:14.206,\N,\N
7759,999,838,1,2,20,1:14.401,\N,\N
7760,1000,8,6,7,3,1:17.526,1:32.762,1:36.186
7761,1000,20,6,5,4,1:16.666,1:28.636,1:36.210
7762,1000,832,4,55,5,1:17.829,1:30.771,1:36.743
7763,1000,842,5,10,6,1:18.577,1:31.286,1:37.591
7764,1000,830,9,33,7,1:16.940,1:31.178,1:38.032
7765,1000,843,5,28,8,1:18.429,1:32.590,1:38.128
7766,1000,825,210,20,9,1:18.314,1:32.968,1:39.858
7767,1000,154,210,8,10,1:17.901,1:33.650,1:40.593
7768,1000,4,1,14,11,1:18.208,1:35.214,\N
7769,1000,817,9,3,12,1:18.540,1:36.442,\N
7770,1000,807,4,27,13,1:17.905,1:36.506,\N
7771,1000,828,15,9,14,1:18.641,1:37.075,\N
7772,1000,840,3,18,15,1:18.560,\N,\N
7773,1000,838,1,2,16,1:18.782,\N,\N
7774,1000,844,15,16,17,1:18.817,\N,\N
7775,1000,839,10,31,18,1:19.142,\N,\N
7776,1000,815,10,11,19,1:19.200,\N,\N
7777,1000,845,3,35,20,1:19.301,\N,\N
7778,1000,1,131,44,1,1:17.419,1:31.242,1:35.658
7779,1000,822,131,77,2,1:17.123,1:32.081,1:35.918
7780,1001,1,131,44,1,1:42.977,1:41.553,1:58.179
7781,1001,20,6,5,2,1:43.035,1:41.501,1:58.905
7782,1001,839,10,31,3,1:44.003,1:43.302,2:01.851
7783,1001,815,10,11,4,1:44.004,1:43.014,2:01.894
7784,1001,154,210,8,5,1:43.597,1:43.042,2:02.122
7785,1001,8,6,7,6,1:42.585,1:41.533,2:02.671
7786,1001,830,9,33,7,1:43.199,1:42.554,2:02.769
7787,1001,817,9,3,8,1:43.604,1:43.126,2:02.939
7788,1001,825,210,20,9,1:43.834,1:43.320,2:04.933
7789,1001,822,131,77,10,1:42.805,1:42.191,\N
7790,1001,842,5,10,11,1:44.221,1:43.844,\N
7791,1001,843,5,28,12,1:44.153,1:43.865,\N
7792,1001,844,15,16,13,1:43.654,1:44.062,\N
7793,1001,828,15,9,14,1:43.846,1:44.301,\N
7794,1001,807,4,27,15,1:44.145,\N,\N
7795,1001,832,4,55,16,1:44.489,\N,\N
7796,1001,4,1,14,17,1:44.917,\N,\N
7797,1001,845,3,35,18,1:44.998,\N,\N
7798,1001,840,3,18,19,1:45.134,\N,\N
7799,1001,838,1,2,20,1:45.307,\N,\N
7800,1002,8,6,7,1,1:20.722,1:19.846,1:19.119
7801,1002,20,6,5,2,1:20.542,1:19.629,1:19.280
7802,1002,1,131,44,3,1:20.810,1:19.798,1:19.294
7803,1002,822,131,77,4,1:21.381,1:20.427,1:19.656
7804,1002,830,9,33,5,1:21.381,1:20.333,1:20.615
7805,1002,154,210,8,6,1:21.887,1:21.239,1:20.936
7806,1002,832,4,55,7,1:21.732,1:21.552,1:21.041
7807,1002,839,10,31,8,1:21.570,1:21.315,1:21.099
7808,1002,842,5,10,9,1:21.834,1:21.667,1:21.350
7809,1002,840,3,18,10,1:21.838,1:21.494,1:21.627
7810,1002,825,210,20,11,1:21.783,1:21.669,\N
7811,1002,845,3,35,12,1:21.813,1:21.732,\N
7812,1002,4,1,14,13,1:21.850,1:22.568,\N
7813,1002,807,4,27,14,1:21.801,\N,\N
7814,1002,817,9,3,15,1:21.280,\N,\N
7815,1002,815,10,11,16,1:21.888,\N,\N
7816,1002,844,15,16,17,1:21.889,\N,\N
7817,1002,843,5,28,18,1:21.934,\N,\N
7818,1002,828,15,9,19,1:22.048,\N,\N
7819,1002,838,1,2,20,1:22.085,\N,\N
7820,1003,1,131,44,1,1:39.403,1:37.344,1:36.015
7821,1003,830,9,33,2,1:38.751,1:37.214,1:36.334
7822,1003,20,6,5,3,1:38.218,1:37.876,1:36.628
7823,1003,822,131,77,4,1:39.291,1:37.254,1:36.702
7824,1003,8,6,7,5,1:38.534,1:37.194,1:36.794
7825,1003,817,9,3,6,1:38.153,1:37.406,1:36.996
7826,1003,815,10,11,7,1:38.814,1:38.342,1:37.985
7827,1003,154,210,8,8,1:38.685,1:38.367,1:38.320
7828,1003,839,10,31,9,1:38.912,1:38.534,1:38.365
7829,1003,807,4,27,10,1:38.932,1:38.450,1:38.588
7830,1003,4,1,14,11,1:39.022,1:38.641,\N
7831,1003,832,4,55,12,1:39.103,1:38.716,\N
7832,1003,844,15,16,13,1:39.206,1:38.747,\N
7833,1003,828,15,9,14,1:39.366,1:39.453,\N
7834,1003,842,5,10,15,1:39.614,1:39.691,\N
7835,1003,825,210,20,16,1:39.644,\N,\N
7836,1003,843,5,28,17,1:39.809,\N,\N
7837,1003,838,1,2,18,1:39.864,\N,\N
7838,1003,845,3,35,19,1:41.263,\N,\N
7839,1003,840,3,18,20,1:41.334,\N,\N
7840,1004,822,131,77,1,1:32.964,1:32.744,1:31.387
7841,1004,1,131,44,2,1:32.410,1:32.595,1:31.532
7842,1004,20,6,5,3,1:33.476,1:33.045,1:31.943
7843,1004,8,6,7,4,1:33.341,1:33.065,1:32.237
7844,1004,825,210,20,5,1:34.078,1:33.747,1:33.181
7845,1004,839,10,31,6,1:34.290,1:33.596,1:33.413
7846,1004,844,15,16,7,1:33.924,1:33.488,1:33.419
7847,1004,815,10,11,8,1:34.084,1:33.923,1:33.563
7848,1004,154,210,8,9,1:34.022,1:33.517,1:33.704
7849,1004,828,15,9,10,1:34.170,1:33.995,1:35.196
7850,1004,830,9,33,11,1:33.048,\N,\N
7851,1004,817,9,3,12,1:33.247,\N,\N
7852,1004,842,5,10,13,1:34.383,\N,\N
7853,1004,832,4,55,14,1:34.626,\N,\N
7854,1004,807,4,27,15,1:34.655,\N,\N
7855,1004,843,5,28,16,1:35.037,\N,\N
7856,1004,4,1,14,17,1:35.504,\N,\N
7857,1004,845,3,35,18,1:35.612,\N,\N
7858,1004,838,1,2,19,1:35.977,\N,\N
7859,1004,840,3,18,20,1:36.437,\N,\N
7860,1005,1,131,44,1,1:28.702,1:28.017,1:27.760
7861,1005,822,131,77,2,1:29.297,1:27.987,1:28.059
7862,1005,830,9,33,3,1:29.480,1:28.849,1:29.057
7863,1005,8,6,7,4,1:29.631,1:28.595,1:29.521
7864,1005,154,210,8,5,1:29.724,1:29.678,1:29.761
7865,1005,843,5,28,6,1:30.248,1:29.848,1:30.023
7866,1005,842,5,10,7,1:30.137,1:29.810,1:30.093
7867,1005,839,10,31,8,1:29.899,1:29.538,1:30.126
7868,1005,20,6,5,9,1:29.049,1:28.279,1:32.192
7869,1005,815,10,11,10,1:30.247,1:29.567,1:37.229
7870,1005,844,15,16,11,1:29.706,1:29.864,\N
7871,1005,825,210,20,12,1:30.219,1:30.226,\N
7872,1005,832,4,55,13,1:30.236,1:30.490,\N
7873,1005,840,3,18,14,1:30.317,1:30.714,\N
7874,1005,817,9,3,15,1:29.806,\N,\N
7875,1005,807,4,27,16,1:30.361,\N,\N
7876,1005,845,3,35,17,1:30.372,\N,\N
7877,1005,4,1,14,18,1:30.573,\N,\N
7878,1005,838,1,2,19,1:31.041,\N,\N
7879,1005,828,15,9,20,1:31.213,\N,\N
7880,1006,1,131,44,1,1:34.130,1:33.480,1:32.237
7881,1006,20,6,5,2,1:34.569,1:33.079,1:32.298
7882,1006,8,6,7,3,1:34.703,1:32.884,1:32.307
7883,1006,822,131,77,4,1:34.518,1:33.702,1:32.616
7884,1006,817,9,3,5,1:34.755,1:34.185,1:33.494
7885,1006,839,10,31,6,1:34.876,1:34.522,1:34.145
7886,1006,807,4,27,7,1:34.932,1:34.564,1:34.215
7887,1006,154,210,8,8,1:34.892,1:34.419,1:34.250
7888,1006,844,15,16,9,1:35.069,1:34.255,1:34.420
7889,1006,815,10,11,10,1:35.193,1:34.525,1:34.594
7890,1006,832,4,55,11,1:34.891,1:34.566,\N
7891,1006,825,210,20,12,1:34.972,1:34.732,\N
7892,1006,842,5,10,13,1:34.850,\N,\N
7893,1006,843,5,28,14,1:35.206,\N,\N
7894,1006,830,9,33,15,1:34.766,\N,\N
7895,1006,4,1,14,16,1:35.294,\N,\N
7896,1006,845,3,35,17,1:35.362,\N,\N
7897,1006,840,3,18,18,1:35.480,\N,\N
7898,1006,828,15,9,19,1:35.536,\N,\N
7899,1006,838,1,2,20,1:35.735,\N,\N
7900,1007,817,9,3,1,1:15.866,1:15.845,1:14.759
7901,1007,830,9,33,2,1:15.756,1:15.640,1:14.785
7902,1007,1,131,44,3,1:15.673,1:15.644,1:14.894
7903,1007,20,6,5,4,1:16.089,1:15.715,1:14.970
7904,1007,822,131,77,5,1:15.580,1:15.923,1:15.160
7905,1007,8,6,7,6,1:16.446,1:15.996,1:15.330
7906,1007,807,4,27,7,1:16.498,1:16.126,1:15.827
7907,1007,832,4,55,8,1:16.813,1:16.188,1:16.084
7908,1007,844,15,16,9,1:16.862,1:16.320,1:16.189
7909,1007,828,15,9,10,1:16.701,1:16.633,1:16.513
7910,1007,839,10,31,11,1:16.252,1:16.844,\N
7911,1007,815,10,11,13,1:16.242,1:17.167,\N
7912,1007,843,5,28,14,1:16.682,1:17.184,\N
7913,1007,842,5,10,15,1:16.828,\N,\N
7914,1007,154,210,8,16,1:16.911,\N,\N
7915,1007,838,1,2,17,1:16.966,\N,\N
7916,1007,825,210,20,18,1:17.599,\N,\N
7917,1007,840,3,18,19,1:17.689,\N,\N
7918,1007,845,3,35,20,1:17.886,\N,\N
7919,1007,4,1,14,12,1:16.857,1:16.871,\N
7920,1008,1,131,44,1,1:08.464,1:07.795,1:07.281
7921,1008,20,6,5,2,1:08.452,1:07.776,1:07.374
7922,1008,822,131,77,3,1:08.492,1:07.727,1:07.441
7923,1008,8,6,7,4,1:08.452,1:08.028,1:07.456
7924,1008,830,9,33,5,1:08.205,1:08.017,1:07.778
7925,1008,817,9,3,6,1:08.544,1:08.055,1:07.780
7926,1008,828,15,9,7,1:08.754,1:08.579,1:08.296
7927,1008,844,15,16,8,1:08.667,1:08.335,1:08.492
7928,1008,154,210,8,9,1:08.735,1:08.239,1:08.517
7929,1008,842,5,10,10,1:09.046,1:08.616,1:09.029
7930,1008,825,210,20,11,1:08.474,1:08.659,\N
7931,1008,815,10,11,12,1:09.217,1:08.741,\N
7932,1008,839,10,31,13,1:09.264,1:08.770,\N
7933,1008,807,4,27,14,1:09.009,1:08.834,\N
7934,1008,845,3,35,15,1:09.259,1:10.381,\N
7935,1008,832,4,55,16,1:09.269,\N,\N
7936,1008,843,5,28,17,1:09.280,\N,\N
7937,1008,4,1,14,18,1:09.402,\N,\N
7938,1008,840,3,18,19,1:09.441,\N,\N
7939,1008,838,1,2,20,1:09.601,\N,\N
7940,1009,1,131,44,1,1:36.828,1:35.693,1:34.794
7941,1009,822,131,77,2,1:36.789,1:36.392,1:34.956
7942,1009,20,6,5,3,1:36.775,1:36.345,1:35.125
7943,1009,8,6,7,4,1:37.010,1:36.735,1:35.365
7944,1009,817,9,3,5,1:37.117,1:36.964,1:35.401
7945,1009,830,9,33,6,1:37.195,1:36.144,1:35.589
7946,1009,154,210,8,7,1:37.575,1:36.732,1:36.192
7947,1009,844,15,16,8,1:37.124,1:36.580,1:36.237
7948,1009,839,10,31,9,1:36.936,1:36.814,1:36.540
7949,1009,807,4,27,10,1:37.569,1:36.630,1:36.542
7950,1009,832,4,55,11,1:37.757,1:36.982,\N
7951,1009,828,15,9,12,1:37.619,1:37.132,\N
7952,1009,825,210,20,13,1:37.934,1:37.309,\N
7953,1009,815,10,11,14,1:37.255,1:37.541,\N
7954,1009,4,1,14,15,1:37.890,1:37.743,\N
7955,1009,843,5,28,16,1:37.994,\N,\N
7956,1009,842,5,10,17,1:38.166,\N,\N
7957,1009,838,1,2,18,1:38.577,\N,\N
7958,1009,845,3,35,19,1:38.635,\N,\N
7959,1009,840,3,18,20,1:38.682,\N,\N
7960,1010,1,131,44,1,1:22.043,1:21.014,1:20.486
7961,1010,822,131,77,2,1:22.367,1:21.193,1:20.598
7962,1010,20,6,5,3,1:22.885,1:21.912,1:21.190
7963,1010,830,9,33,4,1:22.876,1:21.678,1:21.320
7964,1010,844,6,16,5,1:22.017,1:21.739,1:21.442
7965,1010,154,210,8,6,1:22.959,1:21.870,1:21.826
7966,1010,825,210,20,7,1:22.519,1:22.221,1:22.099
7967,1010,846,1,4,8,1:22.702,1:22.423,1:22.304
7968,1010,8,51,7,9,1:22.966,1:22.349,1:22.314
7969,1010,815,211,11,10,1:22.908,1:22.532,1:22.781
7970,1010,807,4,27,11,1:22.540,1:22.562,\N
7971,1010,817,4,3,12,1:22.921,1:22.570,\N
7972,1010,848,5,23,13,1:22.757,1:22.636,\N
7973,1010,841,51,99,14,1:22.431,1:22.714,\N
7974,1010,826,5,26,15,1:22.511,1:22.774,\N
7975,1010,840,211,18,16,1:23.017,\N,\N
7976,1010,842,9,10,17,1:23.020,\N,\N
7977,1010,832,1,55,18,1:23.084,\N,\N
7978,1010,847,3,63,19,1:24.360,\N,\N
7979,1010,9,3,88,20,1:26.067,\N,\N
7980,1011,844,6,16,1,1:28.495,1:28.046,1:27.866
7981,1011,20,6,5,2,1:28.733,1:28.356,1:28.160
7982,1011,1,131,44,3,1:29.262,1:28.578,1:28.190
7983,1011,822,131,77,4,1:29.498,1:28.830,1:28.256
7984,1011,830,9,33,5,1:29.579,1:29.109,1:28.752
7985,1011,825,210,20,6,1:29.532,1:29.017,1:28.757
7986,1011,832,1,55,7,1:29.528,1:29.055,1:28.813
7987,1011,154,210,8,8,1:29.688,1:29.249,1:29.015
7988,1011,8,51,7,9,1:29.959,1:29.471,1:29.022
7989,1011,846,1,4,10,1:29.381,1:29.258,1:29.043
7990,1011,817,4,3,11,1:29.859,1:29.488,\N
7991,1011,848,5,23,12,1:29.514,1:29.513,\N
7992,1011,842,9,10,13,1:29.900,1:29.526,\N
7993,1011,815,211,11,14,1:29.893,1:29.756,\N
7994,1011,826,5,26,15,1:29.876,1:29.854,\N
7995,1011,841,51,99,16,1:30.026,\N,\N
7996,1011,807,4,27,17,1:30.034,\N,\N
7997,1011,840,211,18,18,1:30.217,\N,\N
7998,1011,847,3,63,19,1:31.759,\N,\N
7999,1011,9,3,88,20,1:31.799,\N,\N
8000,1012,822,131,77,1,1:32.658,1:31.728,1:31.547
8001,1012,1,131,44,2,1:33.115,1:31.637,1:31.570
8002,1012,20,6,5,3,1:33.557,1:32.232,1:31.848
8003,1012,844,6,16,4,1:32.712,1:32.324,1:31.865
8004,1012,830,9,33,5,1:33.274,1:32.369,1:32.089
8005,1012,842,9,10,6,1:33.863,1:32.948,1:32.930
8006,1012,817,4,3,7,1:33.709,1:33.214,1:32.958
8007,1012,807,4,27,8,1:33.644,1:33.968,1:32.962
8008,1012,825,210,20,9,1:34.036,1:33.150,\N
8009,1012,154,210,8,10,1:33.752,1:33.156,\N
8010,1012,826,5,26,11,1:33.783,1:33.236,\N
8011,1012,815,211,11,12,1:34.026,1:33.299,\N
8012,1012,8,51,7,13,1:34.125,1:33.419,\N
8013,1012,832,1,55,14,1:33.686,1:33.523,\N
8014,1012,846,1,4,15,1:34.148,1:33.967,\N
8015,1012,840,211,18,16,1:34.292,\N,\N
8016,1012,847,3,63,17,1:35.253,\N,\N
8017,1012,9,3,88,18,1:35.281,\N,\N
